N;DENSITY;SEED;EMBEDGREEDY_HOSTS;EMBEDBALANCED_HOSTS;EMBEDPARTITION_HOSTS;METIS_HOSTS;METIS_HOST_CPU_OVERCOMMITMENT;METIS_HOST_MEMORY_OVERCOMMITMENT;METIS_HOST_LINK_OVERCOMMITMENT;METIS_MAX_CPU_OVERCOMMITMENT;METIS_MAX_MEMORY_OVERCOMMITMENT;METIS_MAX_LINK_OVERCOMMITMENT;RANDOM_HOSTS;RANDOM_HOST_CPU_OVERCOMMITMENT;RANDOM_HOST_MEMORY_OVERCOMMITMENT;RANDOM_HOST_LINK_OVERCOMMITMENT;RANDOM_MAX_CPU_OVERCOMMITMENT;RANDOM_MAX_MEMORY_OVERCOMMITMENT;RANDOM_MAX_LINK_OVERCOMMITMENT;ROUNDROBIN_HOSTS;ROUNDROBIN_HOST_CPU_OVERCOMMITMENT;ROUNDROBIN_HOST_MEMORY_OVERCOMMITMENT;ROUNDROBIN_HOST_LINK_OVERCOMMITMENT;ROUNDROBIN_MAX_CPU_OVERCOMMITMENT;ROUNDROBIN_MAX_MEMORY_OVERCOMMITMENT;ROUNDROBIN_MAX_LINK_OVERCOMMITMENT;SWITCHBIN_HOSTS;SWITCHBIN_HOST_CPU_OVERCOMMITMENT;SWITCHBIN_HOST_MEMORY_OVERCOMMITMENT;SWITCHBIN_HOST_LINK_OVERCOMMITMENT;SWITCHBIN_MAX_CPU_OVERCOMMITMENT;SWITCHBIN_MAX_MEMORY_OVERCOMMITMENT;SWITCHBIN_MAX_LINK_OVERCOMMITMENT
35;0,1;87;10;15;14;20;0;0;0;0;0;0;22;1;2;2;93,75;62,5;56,3;25;0;1;1;0;16,66666667;21,1;25;1;0;0;6,25;0;0
35;0,2;87;10;21;12;17;1;1;0;15,625;8,333333333;0;23;2;1;5;87,5;37,5;122,3;25;0;0;0;0;0;0;25;2;0;3;53,125;0;45
35;0,3;87;11;-1;14;19;0;0;0;0;0;0;24;3;0;4;20,83333333;0;260;25;1;2;3;18,75;37,5;80,3;25;0;1;3;0;79,16666667;52,7
35;0,4;87;10;14;13;18;2;0;0;8,333333333;0;0;25;1;1;8;37,5;79,16666667;284,1;25;0;0;8;0;0;121,7;25;2;0;6;62,5;0;145,8
35;0,5;87;10;14;14;19;0;0;3;0;0;28,5;25;2;1;10;50;58,33333333;304,5;25;1;0;10;12,5;0;211,5;25;2;1;8;59,375;33,33333333;214,6
35;0,1;88;11;16;14;20;1;1;0;9,375;54,16666667;0;21;2;1;4;25;8,333333333;96,3;25;2;0;1;12,5;0;2;25;2;0;1;50;0;27
35;0,2;88;11;18;14;17;2;1;0;79,16666667;33,33333333;0;25;1;0;2;20,83333333;0;51,3;25;1;1;5;37,5;8,333333333;91,4;25;1;0;0;65,625;0;0
35;0,3;88;10;20;15;20;0;0;0;0;0;0;25;3;1;4;125;54,16666667;142,6;25;0;1;7;0;37,5;164,6;25;0;1;2;0;83,33333333;24,3
35;0,4;88;11;15;13;17;1;0;0;70,83333333;0;0;25;2;0;8;33,33333333;0;401,2;25;0;0;9;0;0;120,8;25;3;0;6;70,83333333;0;146,7
35;0,5;88;11;16;13;17;0;0;0;0;0;0;23;1;0;8;41,66666667;0;245,8;25;1;0;9;18,75;0;191,8;25;3;1;7;68,75;4,166666667;152,9
